name,yelp_id,categories,rating,address,latitude,longitude,price,review_count,is_closed,distance
Medina Cafe,VPqWLp9kMiZEbctCebIZUA,"Breakfast & Brunch, Middle Eastern, Wine Bars",4.2,"['780 Richards Street', 'Vancouver, BC V6B 3A4', 'Canada']",49.2804429972571,-123.117036269849,$$,2701,False,96.81249412267523
Salade de Fruits Cafe,IKXFu9H6ngGOS2JRmfmjlw,French,4.2,"['1551 West 7th Avenue', 'Vancouver, BC V6J 1S1', 'Canada']",49.2655161,-123.1401237,$$,185,False,144.84824280829815
Tom Sushi,o5YLdmUogknjtDzUBv5Smw,"Sushi Bars, Japanese",4.7,"['1175 Davie St', 'Vancouver, BC V6E 1N2', 'Canada']",49.2815608,-123.1327476,$$,285,False,242.88486589578116
Bodega On Main,a_uX_ffrbXsWgUpD5pjW7g,"Spanish, Tapas/Small Plates, Tapas Bars",3.9,"['1014 Main Street', 'Vancouver, BC V6A 2W1', 'Canada']",49.27548853708847,-123.09968391901442,$$,229,False,216.33044285730963
Saku,iid0VenH7rIp3AWuyQAAHw,Japanese,4.4,"['1588 Robson Street', 'Vancouver, BC V6G 2G5', 'Canada']",49.289223,-123.132266,$$,453,False,113.55051995252961
The Burrow,UbwADEKly9ZiNzviUJbc0w,"Mexican, Vegetarian, Breakfast & Brunch",3.9,"['2781 Commercial Drive', 'Vancouver, BC V5N 4C5', 'Canada']",49.2597591,-123.0700099,$$,516,False,181.29099142781513
La Taqueria Pinche Taco Shop,6iOAgzJ0DRZNSKA3FSrrOg,Mexican,4.2,"['2450 Yukon Street', 'Vancouver, BC V5Z 3V6', 'Canada']",49.263617,-123.112593,$$,697,False,170.59072303950595
Johnnie Fox's Irish Pub,O9KCg8IfPtbNSlk7M0OdSQ,"Irish, Pubs",3.9,"['1601 Main Street', 'Vancouver, BC V6A 2W5', 'Canada']",49.27142,-123.10129,$$,127,False,198.55684749187145
Dundas Eat + Drink,RjaMcWoyG_CFh-M61fahxA,"Vietnamese, Asian Fusion, Beer Bar",4.2,"['2077 Dundas Street', 'Vancouver, BC V5L 1J5', 'Canada']",49.285084,-123.062273,$$,75,False,80.43645549970856
Nemesis Coffee,pwUPWowcRQPfMNJcBKQ66w,"Coffee & Tea, Breakfast & Brunch, Desserts",4.2,"['555 Great Northern Way', 'Vancouver, BC V5T 1E1', 'Canada']",49.26704079691957,-123.09265477054645,$$,101,False,137.8876738089841
Nana's Green Tea,yhlLjEZUhzPES8vrtcPGrA,"Desserts, Japanese, Cafes",4.1,"['159 West 4th Avenue', 'Vancouver, BC V6M 1Z6', 'Canada']",49.267587,-123.1086543,$$,192,False,134.54855049911814
